Office Address,RTO Code,Latitude,Longitude
North Delhi - Mall Road,DL-01,28.690878,77.1417653
New Delhi - Tilak Marg,DL-02,28.6197738,77.2344567
South Delhi - Sheikh Sarai,DL-03,28.6197675,77.1958317
West Delhi - Janakpuri,DL-04,28.6311995,77.0782203
East Delhi - Loni Road,DL-05,28.6806838,77.2774486
Central Delhi - Sarai Kale Khan,DL-06,28.5861779,77.2543238
East Delhi - Mayur Vihar,DL-07,28.6205526,77.2699451
North West Delhi - Wazir Pur,DL-08,28.6205526,77.2699451
South West Delhi - Janakpuri / Palam,DL-09,28.6951208,77.0731374
West Delhi - Raja Garden,DL-10,28.6951208,77.0731374
North West Delhi - Rohini,DL-11,28.6537758,77.1210334
South West Delhi - Vasant Vihar,DL-12,28.5588007,77.1671068
East Delhi - Surajmal Vihar / Shahdara,DL-13,28.6592415,77.3006543
Sonipat due to the NCR,DL-14,29.0005276,76.9978916
Gurgaon due to the NCR,DL-15,28.4366226,77.0123717
Faridabad due to the NCR,DL-16,28.383321,77.3223669
Noida due to the NCR,DL-17,28.5873751,77.3495977
Ghaziabad due to the NCR,DL-18,28.6529132,77.4600722
